Sequence_ID,Cluster,Novelty,Confidence,Category,Function
Sequence_554,2,0.9418,0.5253,Potentially novel,Bioactive-like
Sequence_555,2,0.9577,0.5215,Potentially novel,Bioactive-like
Sequence_556,1,0.9705,0.5185,Potentially novel,Bioactive-like
Sequence_557,1,0.9694,0.5187,Potentially novel,Bioactive-like
Sequence_558,2,0.958,0.5214,Potentially novel,Bioactive-like
Sequence_559,1,0.9633,0.5202,Potentially novel,Bioactive-like
Sequence_560,1,0.9648,0.5198,Potentially novel,Bioactive-like
Sequence_561,1,0.9618,0.5205,Potentially novel,Bioactive-like
Sequence_562,1,0.9676,0.5192,Potentially novel,Bioactive-like
Sequence_563,1,0.9902,0.5139,Potentially novel,Enzyme-like
Sequence_564,2,0.9352,0.5269,Potentially novel,Bioactive-like
Sequence_565,1,0.9928,0.5133,Potentially novel,Bioactive-like
Sequence_566,1,0.9688,0.5189,Potentially novel,Bioactive-like
Sequence_567,1,0.9832,0.5155,Potentially novel,AT-rich (structural)
Sequence_568,2,0.9814,0.516,Potentially novel,Bioactive-like
Sequence_569,1,0.9727,0.518,Potentially novel,Enzyme-like
Sequence_570,2,0.9773,0.5169,Potentially novel,Bioactive-like
Sequence_571,2,0.9751,0.5174,Potentially novel,Bioactive-like
Sequence_572,1,0.9627,0.5203,Potentially novel,Bioactive-like
Sequence_573,2,0.9769,0.517,Potentially novel,Bioactive-like
Sequence_574,1,0.9912,0.5137,Potentially novel,Bioactive-like
Sequence_575,2,0.9796,0.5164,Potentially novel,Bioactive-like
Sequence_576,1,0.9856,0.515,Potentially novel,Bioactive-like
Sequence_577,2,0.9689,0.5189,Potentially novel,Bioactive-like
Sequence_578,2,0.9592,0.5212,Potentially novel,Bioactive-like
