Sequence_241, Cluster_0, Distance_0.6176, Novelty_0.6132, Confidence_0.6182, Similar
Sequence_242, Cluster_0, Distance_0.3940, Novelty_0.3565, Confidence_0.7174, Known-like
Sequence_243, Cluster_0, Distance_0.1883, Novelty_0.1203, Confidence_0.8415, Known-like
Sequence_244, Cluster_0, Distance_0.3308, Novelty_0.2839, Confidence_0.7514, Known-like
Sequence_245, Cluster_0, Distance_0.5535, Novelty_0.5396, Confidence_0.6437, Similar
Sequence_246, Cluster_0, Distance_0.1704, Novelty_0.0996, Confidence_0.8544, Known-like
Sequence_247, Cluster_0, Distance_0.1912, Novelty_0.1236, Confidence_0.8395, Known-like
Sequence_248, Cluster_0, Distance_0.4936, Novelty_0.4708, Confidence_0.6695, Similar
Sequence_249, Cluster_0, Distance_0.4501, Novelty_0.4209, Confidence_0.6896, Known-like
Sequence_250, Cluster_0, Distance_0.3520, Novelty_0.3082, Confidence_0.7397, Known-like
Sequence_251, Cluster_0, Distance_0.4006, Novelty_0.3641, Confidence_0.7140, Known-like
Sequence_252, Cluster_0, Distance_0.4486, Novelty_0.4191, Confidence_0.6903, Known-like
Sequence_253, Cluster_0, Distance_0.3199, Novelty_0.2714, Confidence_0.7576, Known-like
Sequence_254, Cluster_0, Distance_0.4056, Novelty_0.3698, Confidence_0.7114, Known-like
Sequence_255, Cluster_0, Distance_0.4667, Novelty_0.4400, Confidence_0.6818, Known-like
Sequence_256, Cluster_0, Distance_0.3695, Novelty_0.3283, Confidence_0.7302, Known-like
Sequence_257, Cluster_0, Distance_0.4122, Novelty_0.3773, Confidence_0.7081, Known-like
Sequence_258, Cluster_0, Distance_0.6822, Novelty_0.6874, Confidence_0.5945, Similar
Sequence_259, Cluster_0, Distance_0.5845, Novelty_0.5752, Confidence_0.6311, Similar
Sequence_260, Cluster_0, Distance_0.5052, Novelty_0.4842, Confidence_0.6643, Similar
Sequence_261, Cluster_0, Distance_0.4450, Novelty_0.4150, Confidence_0.6921, Known-like
Sequence_262, Cluster_0, Distance_0.4775, Novelty_0.4524, Confidence_0.6768, Similar
Sequence_263, Cluster_0, Distance_0.2966, Novelty_0.2446, Confidence_0.7713, Known-like
Sequence_264, Cluster_0, Distance_0.2061, Novelty_0.1407, Confidence_0.8291, Known-like
Sequence_265, Cluster_0, Distance_0.3384, Novelty_0.2926, Confidence_0.7471, Known-like
Sequence_266, Cluster_0, Distance_0.2100, Novelty_0.1451, Confidence_0.8265, Known-like
Sequence_267, Cluster_0, Distance_0.7604, Novelty_0.7773, Confidence_0.5680, Similar
